votes,party,female,black,inc,redist,east,midwest,south,west
84.5,1,0,0,7.585,59.599998,1,0,0,0
72,1,0,0,8.1990004,59.700001,1,0,0,0
4.5,0,0,0,5.9790001,60.299999,1,0,0,0
38,0,0,0,6.0289998,61,1,0,0,0
59.5,1,0,0,6.0089998,61.200001,1,0,0,0
47.5,1,0,0,6.2069998,64.5,1,0,0,0
34.5,0,0,0,10.381,60,1,0,0,0
77,1,0,0,7.2160001,61.5,1,0,0,0
71.5,1,0,0,7.6500001,58.599998,1,0,0,0
9.5,0,0,0,7.158,57.099998,1,0,0,0
40,1,0,0,6.7379999,59.5,1,0,0,0
64.5,1,0,0,8.8380003,60.299999,1,0,0,0
16.5,0,0,0,7.4120002,57.599998,1,0,0,0
54.5,1,0,0,7.5539999,61.400002,1,0,0,0
50,1,0,0,6.994,62.400002,1,0,0,0
59.5,1,0,0,6.1279998,61.099998,1,0,0,0
56,0,0,0,6.599,61.200001,1,0,0,0
75,1,0,0,7.0029998,59.400002,1,0,0,0
66.5,1,0,0,6.796,60.700001,1,0,0,0
43.5,1,0,0,6.04,54.700001,0,0,1,0
13,0,0,0,6.1090002,52.200001,0,0,1,0
50.5,1,0,0,5.9640002,52.099998,0,0,1,0
44.5,1,0,0,5.5370002,53.099998,0,0,1,0
48.5,1,0,0,5.0679998,53.700001,0,0,1,0
14.5,0,0,0,5.3520002,56.400002,0,1,0,0
15,0,0,0,5.6230001,57.099998,0,0,1,0
17.5,0,0,0,6.2600002,55.5,0,0,1,0
23.5,1,1,0,6.3909998,55.900002,0,0,1,0
75,1,0,0,5.8280001,55.299999,0,0,1,0
4.5,0,0,0,6.7220001,55.299999,0,0,1,0
32,1,0,0,5.8369999,55,0,0,1,0
79,1,0,1,5.5229998,56.900002,0,0,1,0
14,1,0,0,6.0170002,51.099998,0,0,1,0
42.5,1,0,0,6.5050001,52.099998,0,0,1,0
7,0,0,0,11.641,54.299999,0,0,1,0
18,1,0,0,7.0190001,51.200001,0,0,1,0
45,1,0,0,7.006,50.799999,0,0,1,0
5,0,0,0,12.136,55.200001,0,0,1,0
85.5,1,0,0,7.1859999,52.299999,0,0,1,0
45,1,0,0,7.8940001,54,0,0,1,0
40,1,0,0,7.0359998,50.799999,0,0,1,0
53,1,0,0,7.3400002,51.599998,0,0,1,0
31.5,1,0,0,7.2670002,51.099998,0,0,1,0
13.5,1,0,1,4.3330002,54.599998,0,0,1,0
22.5,1,0,0,5.5489998,54.099998,0,0,1,0
72,1,0,1,4.2119999,52.400002,0,0,1,0
14,1,0,0,8.6280003,52.900002,0,0,1,0
23,1,0,0,4.8379998,52.200001,0,0,1,0
17,1,0,0,6.934,51.099998,0,0,1,0
27.5,1,0,0,5.8449998,46.900002,0,0,0,1
2.5,0,0,0,6.7820001,46.700001,0,0,0,1
57.5,0,0,0,6.178,58.5,1,0,0,0
16,0,0,0,6.6370001,54.099998,0,0,1,0
13,0,0,0,6.9499998,54.799999,0,0,1,0
5,1,0,0,7.7859998,52.400002,0,0,1,0
8.5,0,0,0,6.1799998,53.299999,0,0,1,0
2,1,0,0,5.987,51.5,0,0,1,0
7,0,0,0,6.783,52.799999,0,0,1,0
8.5,0,0,0,6.658,52.200001,0,0,1,0
81.5,1,0,0,10.198,54.599998,0,0,1,0
12.5,0,0,0,5.5019999,54.799999,0,0,1,0
69,1,0,0,11.891,55.099998,0,0,1,0
